symbol,companyName,marketCap,sector,industry,beta,price,lastAnnualDividend,volume,exchange,exchangeShortName,country,isFund
LTM,LATAM Airlines Group S.A.,10254290670,Industrials,"Airlines, Airports & Air Services",1.226,33.93,0.63632,195021,New York Stock Exchange,NYSE,CL,False
TSM,Taiwan Semiconductor Manufacturing Company Limited,965839327778,Technology,Semiconductors,1.321,186.22,2.46967,9504994,New York Stock Exchange,NYSE,TW,False
BCH,Banco de Chile,15233363600,Financial Services,Banks - Regional,0.145,30.16,2.10369,82905,New York Stock Exchange,NYSE,CL,False
BABA,Alibaba Group Holding Limited,322451790102,Consumer Cyclical,Specialty Retail,0.237,133.0576,2.0,11032385,New York Stock Exchange,NYSE,CN,False
TM,Toyota Motor Corporation,250568061205,Consumer Cyclical,Auto - Manufacturers,0.248,192.015,5.2,115992,New York Stock Exchange,NYSE,JP,False
TLK,Perusahaan Perseroan (Persero) PT Telekomunikasi Indonesia Tbk,15869764696,Communication Services,Telecommunications Services,0.17,16.02,1.1116,96656,New York Stock Exchange,NYSE,ID,False
BRK-B,Berkshire Hathaway Inc.,1105456605933,Financial Services,Insurance - Diversified,0.869,512.32,0.0,1998497,New York Stock Exchange,NYSE,US,False
HSBC,HSBC Holdings plc,206491147855,Financial Services,Banks - Diversified,0.456,58.51,3.28,830518,New York Stock Exchange,NYSE,GB,False
AMX,"América Móvil, S.A.B. de C.V.",51571110000,Communication Services,Telecommunications Services,0.269,16.85,0.50579,327462,New York Stock Exchange,NYSE,MX,False
WMT,Walmart Inc.,766805297600,Consumer Defensive,Discount Stores,0.699,95.84,0.885,11480782,New York Stock Exchange,NYSE,US,False
JPM,JPMorgan Chase & Co.,723202590700,Financial Services,Banks - Diversified,1.068,260.23,5.05,3019554,New York Stock Exchange,NYSE,US,False
LLY,Eli Lilly and Company,700632792720,Healthcare,Drug Manufacturers - General,0.472,739.27,6.0,3988283,New York Stock Exchange,NYSE,US,False
V,Visa Inc.,686908387858,Financial Services,Financial - Credit Services,0.955,354.23,2.36,1678437,New York Stock Exchange,NYSE,US,False
HDB,HDFC Bank Limited,183657194567,Financial Services,Banks - Regional,0.612,71.97,0.59238,798215,New York Stock Exchange,NYSE,IN,False
MA,Mastercard Incorporated,516667040010,Financial Services,Financial - Credit Services,1.061,573.27,2.84,701031,New York Stock Exchange,NYSE,US,False
XOM,Exxon Mobil Corporation,472250351200,Energy,Oil & Gas Integrated,0.475,109.58,3.88,3732156,New York Stock Exchange,NYSE,US,False
ORCL,Oracle Corporation,435328665200,Technology,Software - Infrastructure,1.276,155.24,1.7,2054821,New York Stock Exchange,NYSE,US,False
SHEL,Shell plc,198312524474,Energy,Oil & Gas Integrated,0.288,66.51,2.78,1861516,New York Stock Exchange,NYSE,GB,False
PG,The Procter & Gamble Company,374915391400,Consumer Defensive,Household & Personal Products,0.411,159.91,4.0763,1845840,New York Stock Exchange,NYSE,US,False
HD,"The Home Depot, Inc.",374407707960,Consumer Cyclical,Home Improvement,1.056,376.695,9.05,1025482,New York Stock Exchange,NYSE,US,False
JNJ,Johnson & Johnson,371888052000,Healthcare,Drug Manufacturers - General,0.411,154.32,4.96,2308946,New York Stock Exchange,NYSE,US,False
UNH,UnitedHealth Group Incorporated,344676914400,Healthcare,Medical - Healthcare Plans,0.571,379.96,8.4,3821261,New York Stock Exchange,NYSE,US,False
EC,Ecopetrol S.A.,16929801225,Energy,Oil & Gas Integrated,0.332,8.235,1.26958,845575,New York Stock Exchange,NYSE,CO,False
CHT,"Chunghwa Telecom Co., Ltd.",33744908544,Communication Services,Telecommunications Services,0.08,43.5,1.47359,16618,New York Stock Exchange,NYSE,TW,False
SAP,SAP SE,337436145062,Technology,Software - Application,0.952,289.25,2.5893,424509,New York Stock Exchange,NYSE,DE,False
NGG,National Grid plc,66735558339,Utilities,Regulated Electric,0.31,68.08,7.01952,484278,New York Stock Exchange,NYSE,GB,False
ABBV,AbbVie Inc.,333629628000,Healthcare,Drug Manufacturers - General,0.551,188.6,6.38,3381929,New York Stock Exchange,NYSE,US,False
BAC,Bank of America Corporation,326168063400,Financial Services,Banks - Diversified,1.28,43.305,1.02,17038740,New York Stock Exchange,NYSE,US,False
KO,The Coca-Cola Company,298554927875,Consumer Defensive,Beverages - Non-Alcoholic,0.474,69.3625,1.965,6025067,New York Stock Exchange,NYSE,US,False
NVO,Novo Nordisk A/S,293534448300,Healthcare,Drug Manufacturers - General,0.207,65.71,1.61185,9304532,New York Stock Exchange,NYSE,DK,False
CRM,"Salesforce, Inc.",274629379493,Technology,Software - Application,1.421,286.2291,1.616,1803517,New York Stock Exchange,NYSE,US,False
